course_code,course_title,points_r1_2021,points_r2_2021,eos_mid_2021,test/interview_2021,points_r1_2020,points_r2_2020,eos_mid_2020,test/interview_2020,eos_mid_2019,eos_2019
TR312,Film/English Literature,576,,590,,521,,541,,,
TR320,Film/Music,584,,601,#,521,,555,#,,
TR322,Geography/History,578,,613,,529,,555,,,
TR323,Drama Studies/Modern Language,495,,589,#,#473,,551,#,,
TR324,Film/Modern Language,577,,589,,521,,544,,,
TR325,Film/History,578,,613,,529,,625,,,
TR326,Geography/Modern Language,451,,500,,352,,440,,,
TR328,Political Science/Geography,564,,590,,,,,,,
TR332,Geography/Sociology,522,,554,,498,496,520,,,
TR443,History/History of Art and Architecture,581,,613,,529,,532,,,
TR447,History/Modern Language,576,,576,,529,,554,,,
TR449,History/Philosophy,579,,590,,529,,543,,,
TR454,History/Religion,,,,,529,,534,,,
TR455,History of Art and Architecture/Modern Language,451,,512,,334,,454,,,
TR457,History/Political Science,576,,590,,,,,,,
TR479,History of Art and Architecture/Philosophy,509,,531,,499,,555,,,
TR482,Sociology/History of Art and Architecture,522,,541,,,,,,,
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",543,,543,,337,,473,,,
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",544,,544,,335,,543,,,
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",576,,580,,529,,555,,,
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",590,,590,,335,,451,,,
TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,,#,,,,#,,
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",999,949,,,342,,,,,
TR580,Business Studies/Law,625,,625,,,,,,,
TR581,History/Law,625,,625,,,,,,,
TR582,Political Science/Law,625,,625,,,,,,,
TR587,"Middle Eastern,Jewish and Islamic Civilisations/Linguistics",,,,,,,,,,
TR588,Linguistics/Modern Language,456,,519,,,,,,,
TR589,Linguistics/Philosophy,520,,553,,,,,,,
TR592,"Sociology/Middle Eastern,Jewish and Islamic Civilisations",531,,539,,,,,,,
TR597,Mathematics/Modern Language,613,,613,,566,,625,,,
TR598,Mathematics/Music,625,,625,#,566,,,#,,
TR599,Mathematics/Philosophy,625,,625,,566,,589,,,
TR629,Music/Philosophy,533,,533,#,499,,,#,,
TR635,Music/Drama Studies,532,,532,#,#473,,487,#,,
TR636,Music/Modern Language,530,,555,#,388,,455,#,,
TR638,Music/Religion,,,,#,388,,440,#,,
TR639,Philosophy/Modern Language,520,,540,,499,,613,,,
TR662,Philosophy/Sociology,531,,542,,499,,531,,,
TR663,Religion/Classical Civilisation,418,,442,,342,,591,,,
TR664,Religion/English Literature,968,,,,498,,565,,,
TR665,Religion/History of Art and Architecture,369,,494,,342,,452,,,
TR666,Religion/Modern Language,,,,,,,,,,
TR667,French/Modern Language,466,,508,,403,,478,,,
TR668,German/Modern Language,441,,521,,389,,465,,,
TR669,Irish/Modern Language,464,,533,,368,,473,,,
TR670,Italian/Modern Language,462,,498,,381,,466,,,
TR671,Russian/Modern Language,501,,525,,332,,494,,,
TR672,Spanish/Modern Language,486,,552,,336,,488,,,
TR756,Sociology/Modern Language,522,,545,,498,495,510,,,
TR757,Modern Language/Social Policy,555,,566,,,,,,,
TR758,Social Policy/Political Science,566,,597,,,,,,,
TR759,Sociology/Social Policy,554,,579,,,,,,,
TR801,Dental Nursing,490,485,498,,436,419,455,,,
TR802,Dental Hygiene,577,565,613,#,#543,#511,532,#,,
TR803,Dental Technology,543,498,509,#,#531,#486,456,#,,
TR911,Children`s and General Nursing (Integrated),531,,544,,511,510,521,,487 ,476* 
